text_name,genre,pos_NOUN,pos_VERB,pos_ADJ,pos_ADP,pos_PRON,pos_NUM,pos_ADV,pos_PART,nom_verb_ratio,case_Nom,case_Acc,case_Inst,case_Dat,case_Abl,case_Gen,case_Loc,case_Voc,tense_Pres,tense_Past,tense_Fut,tense_Imp,mood_Ind,mood_Opt,mood_Imp,mood_Sub,compound_rate,mantra_rate,avg_dep_length,subordination_rate,verb_final_rate,MCI
Atharvaveda (Śaunaka),Vedic,358.6436300860363,204.33971003101797,98.79436904377606,42.751477213715276,175.27263540540918,10.863310362250697,38.0636921219947,42.52691265842327,3.0963665086887837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623.2570918332303,211.5529912768734,5.838313070952675,0.0,415.2070883989285,21.43004327220276,249.46768322000136,35.854110859262306,32.36536653146009,0.0982469929402518,7386.551684481125,61.020159653632795,0.33400133600534404,3.3335011396865983
Atharvavedapariśiṣṭa,Vedic,446.60766961651916,162.24188790560473,86.72566371681415,5.3097345132743365,72.56637168141593,7.079646017699115,61.94690265486726,79.64601769911505,3.7345454545454544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621.8181818181819,7.2727272727272725,21.81818181818182,0.0,298.1818181818182,243.63636363636363,43.63636363636364,0.0,164.60176991150445,0.0,0.0,0.0,0.0,3.2078700034394445
Avadānaśataka,Kavya,470.99044746103567,203.26797385620915,88.33584715937657,0.5027652086475616,86.87782805429863,18.149824032176976,52.890899949723476,49.77375565610859,3.1790749443482564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.40242394261685,56.14642592134553,38.83255008656938,0.0,336.63121444471926,23.992085085332675,31.16497650259708,0.0,196.17898441427852,0.0,11.709677419354838,129.03225806451613,0.0,3.1216385173827246
Ayurvedarasāyana,Shastra,483.10235837588135,97.00948212983224,150.25528811086798,0.4862630683199611,70.99440797471432,9.725261366399222,46.194991490396305,106.73474349623146,7.260651629072682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.9523809523809,180.45112781954887,25.062656641604008,0.0,491.2280701754386,52.63157894736842,2.506265664160401,0.0,260.3938730853392,0.0,0.0,0.0,0.0,2.866477848954504
Aṣṭasāhasrikā,Kavya,356.3292450008054,194.90530869595233,114.73410497733391,0.13806751501484227,116.1377913799848,8.974388475964746,56.28552362105069,104.05688381618612,3.0127508854781584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.06021251475795,61.27508854781582,184.29752066115705,0.0,427.62691853600944,90.20070838252657,14.285714285714285,0.0,141.0129553351589,0.0,0.0,0.0,0.0,3.2399649862845323
Aṣṭādhyāyī,Shastra,704.8204464574571,23.552248463280492,73.05079262374636,6.599805888062115,32.8049175024264,9.640892914914268,29.828534454868976,55.58071821417017,34.42032967032967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.73626373626377,46.7032967032967,5.4945054945054945,0.0,217.03296703296704,8.241758241758243,8.241758241758243,2.7472527472527473,314.20252345519253,0.0,0.0,0.0,0.0,2.302217093336855
Aṣṭāvakragīta,Kavya,313.2108486439195,180.66491688538932,121.82852143482064,1.5310586176727907,105.64304461942257,4.155730533683289,96.23797025371829,127.29658792650919,2.9927360774818403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489.1041162227603,27.84503631961259,13.317191283292978,0.0,359.5641646489104,23.002421307506054,66.5859564164649,0.0,130.79615048118984,0.0,0.0,0.0,0.0,2.9070175745811833
Aṣṭāṅgahṛdayasaṃhitā,Shastra,545.7843091661629,126.79161047295726,140.33390689671208,3.180951495140213,39.352648467655676,11.561177510114868,57.219922801469565,30.572478258847603,5.721757629107981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445.12910798122067,11.443661971830986,10.710093896713616,0.0,167.84037558685446,254.9882629107981,1.7605633802816902,0.0,306.4874668650886,0.0,4.285714285714286,285.7142857142857,0.0,2.949509908159804
Aṣṭāṅganighaṇṭu,Shastra,829.350011168193,41.09895018985928,28.143846325664505,0.0,9.60464596828233,1.7869108778199687,10.944829126647308,31.047576502121956,21.097826086956523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.13043478260872,0.0,21.73913043478261,0.0,103.26086956521739,152.17391304347828,5.434782608695652,0.0,86.21844985481349,0.0,0.0,0.0,0.0,2.228314907446484
Aṣṭāṅgasaṃgraha,Shastra,470.96479195244626,72.24508459076361,214.44901691815272,0.45724737082761774,54.412437128486516,5.94421582075903,72.70233196159121,58.070416095107454,10.240506329113924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449.36708860759495,31.645569620253166,37.9746835443038,0.0,348.10126582278485,94.9367088607595,0.0,0.0,304.5267489711934,0.0,0.0,0.0,0.0,2.71964821515402
Baudhāyanadharmasūtra,Vedic,424.44580028472643,189.54647142566606,78.164192258152,4.609856958850247,76.19822384923056,24.540709104467496,56.33516371771405,88.06182631685986,3.0536480686695278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,583.6909871244635,32.546494992846924,11.087267525035767,0.0,359.08440629470675,169.88555078683834,23.24749642346209,2.1459227467811157,139.24479696291777,22.91370076604976,515.2363112391931,36.50336215177714,0.0,3.218362830750704
Baudhāyanagṛhyasūtra,Vedic,411.02740182678843,187.7458497233149,77.20514700980065,10.000666711114073,92.40616041069404,17.201146743116208,69.27128475231682,76.47176478431895,3.092684659090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567.1164772727273,75.63920454545455,13.849431818181818,0.0,361.1505681818182,111.50568181818183,113.99147727272728,11.008522727272728,94.87299153276885,0.0,234.6817248459959,65.70841889117044,22.727272727272727,3.3048437685308714
Baudhāyanaśrautasūtra,Vedic,340.7218467032266,247.4174212472899,92.92182119627599,9.361050886366534,105.31819920928453,15.865323300599414,81.62224206096161,81.95383241933426,2.1783505154639173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.4742268041236,90.30927835051547,8.556701030927835,0.0,488.3505154639175,19.896907216494846,138.55670103092785,3.6082474226804124,49.04986608850912,269.3023848998852,3182.4609840175494,68.47383265434033,0.0,3.3093334125341354
Bhadrabāhucarita,Kavya,514.2857142857142,228.57142857142856,133.33333333333334,0.0,57.14285714285714,4.761904761904763,42.857142857142854,9.523809523809526,3.0833333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,62.5,83.33333333333333,0.0,250.0,20.833333333333332,41.666666666666664,0.0,276.1904761904762,0.0,0.0,0.0,0.0,3.10559107653926
Bhairavastava,Kavya,475.4901960784313,122.54901960784314,166.66666666666666,4.901960784313726,132.35294117647058,9.803921568627452,44.11764705882353,34.313725490196084,6.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,0.0,560.0,0.0,80.0,0.0,397.05882352941177,0.0,0.0,0.0,0.0,2.731865924917976
